Protein.ID	Control	Treatment_A	Treatment_B
P12345	1500	0	0
P23456	1200	0	0
P34567	1800	0	0
P45678	1000	0	0
P56789	2200	0	0
P67890	0	2500	0
P78901	0	2100	0
P89012	0	1800	0
P90123	0	2300	0
P01234	0	2700	0
P11111	0	0	3000
P22222	0	0	2800
P33333	0	0	3200
P44444	0	0	2600
P55555	0	0	3100
P66666	1500	2000	0
P77777	1200	1900	0
P88888	1800	2200	0
P99999	0	2100	2900
Q12345	0	2400	3300
Q23456	0	1700	2500
Q34567	1600	0	2700
Q45678	1900	0	3400
Q56789	2100	0	3000
Q67890	1400	1800	2200
Q78901	1700	2300	2800
Q89012	2000	2600	3500
